fresh_food_id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
247,100,270 ,50.45,5.32,9.44,3.42,0,524,1.56,0.05
248,100,285 ,48.7,0,9.1,6.0,0,434,0,0
249,100,321,49.10,0,7.40,10.20,62,795,2.797,0
250,100,291,32.90,0,7.90,14.10,69,511,2.866,0
251,100,279,-57.3,-36.4,-4.9,-4.2,-53,43,-1.75,0
252,100,241,-38.1,-15,-7.3,-7.9,-140,63,-3.18,0
253,100,285,-58.1,-27.6,-5.3,-3.9,-20,120,-1.73,0
254,100,239 ,52.4,0,5.4,0.9,0,280,0,0
255,100,231 ,37.3,0,8.1,5.5,0,409,0,0
256,100,213 ,44.36,10.42,5.96,1.29,0,158,0.58,0.01
257,100,299 ,59.46,24.85,6.91,3.72,139,81,1.27,0.02
258,100,438,43.9,0,7.9,26.8,-35,470,-12.16,0
259,100,406,45.80,11.26,8.20,21.00,67,384,11.659,0
260,100,307 ,29.7,0,6.0,18.2,0,346,0,0
261,100,301 ,31.2,0,7.1,16.4,0,403,0,0
262,100,275 ,45.5,0,6.0,7.7,0,160,0,0
263,100,383 ,46.2,0,8.2,18.4,0,319,0,0
264,100,253 ,48.51,16.37,7.57,3.17,19,180,1.69,0.13
265,100,457 ,46.5,0,8.6,26.3,0,423,0,0
266,100,371,47.80,27.53,5.40,18.50,114,445,4.860,0
